Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",144.135000,-91.221000,281.200000,bottom
"C2","100n","C_0603_1608Metric",141.575000,-82.779000,292.500000,bottom
"C3","100n","C_0603_1608Metric",137.416000,-74.999000,303.700000,bottom
"C4","100n","C_0603_1608Metric",131.820000,-68.180000,315.000000,bottom
"C5","100n","C_0603_1608Metric",125.001000,-62.584000,326.200000,bottom
"C6","100n","C_0603_1608Metric",117.221000,-58.425000,337.500000,bottom
"C7","100n","C_0603_1608Metric",108.779000,-55.865000,348.700000,bottom
"C8","100n","C_0603_1608Metric",100.000000,-55.000000,0.000000,bottom
"C9","100n","C_0603_1608Metric",91.221000,-55.865000,11.200000,bottom
"C10","100n","C_0603_1608Metric",82.779000,-58.425000,22.500000,bottom
"C11","100n","C_0603_1608Metric",74.990000,-62.584000,33.700000,bottom
"C12","100n","C_0603_1608Metric",68.180000,-68.180000,45.000000,bottom
"C13","100n","C_0603_1608Metric",62.584000,-74.999000,56.200000,bottom
"C14","100n","C_0603_1608Metric",58.425000,-82.779000,67.500000,bottom
"C15","100n","C_0603_1608Metric",55.865000,-91.221000,78.700000,bottom
"C16","100n","C_0603_1608Metric",55.000000,-100.000000,90.000000,bottom
"C17","100n","C_0603_1608Metric",55.865000,-108.779000,101.200000,bottom
"C18","100n","C_0603_1608Metric",58.425000,-117.221000,112.500000,bottom
"C19","100n","C_0603_1608Metric",62.584000,-125.001000,123.700000,bottom
"C20","100n","C_0603_1608Metric",68.180000,-131.820000,135.000000,bottom
"C21","100n","C_0603_1608Metric",74.999000,-137.416000,146.200000,bottom
"C22","100n","C_0603_1608Metric",82.779000,-141.575000,157.500000,bottom
"C23","100n","C_0603_1608Metric",91.221000,-144.135000,168.700000,bottom
"C24","100n","C_0603_1608Metric",100.000000,-145.000000,180.000000,bottom
"C25","100n","C_0603_1608Metric",108.779000,-144.135000,191.200000,bottom
"C26","100n","C_0603_1608Metric",117.221000,-141.575000,202.500000,bottom
"C27","100n","C_0603_1608Metric",125.001000,-137.416000,213.700000,bottom
"C28","100n","C_0603_1608Metric",131.820000,-131.820000,225.000000,bottom
"C29","100n","C_0603_1608Metric",137.416000,-125.001000,236.200000,bottom
"C30","100n","C_0603_1608Metric",141.575000,-117.221000,247.500000,bottom
"C31","100n","C_0603_1608Metric",144.135000,-108.779000,258.700000,bottom
"C32","100n","C_0603_1608Metric",145.000000,-100.000000,270.000000,bottom
"C33","100n","C_0603_1608Metric",136.800000,-100.000000,0.000000,bottom
"C34","100n","C_0603_1608Metric",128.620000,-100.000000,0.000000,bottom
"C35","100n","C_0603_1608Metric",120.440000,-100.000000,0.000000,bottom
"C36","100n","C_0603_1608Metric",112.260000,-100.000000,0.000000,bottom
"C37","100n","C_0603_1608Metric",104.080000,-100.000000,0.000000,bottom
"C38","100n","C_0603_1608Metric",95.900000,-100.000000,0.000000,bottom
"C39","100n","C_0603_1608Metric",87.720000,-100.000000,0.000000,bottom
"C40","100n","C_0603_1608Metric",79.540000,-100.000000,0.000000,bottom
"C41","100n","C_0603_1608Metric",71.360000,-100.000000,0.000000,bottom
"C42","100n","C_0603_1608Metric",63.180000,-100.000000,0.000000,bottom
